step,time,x,y,theta,wp_idx,action,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_raw,ps1_raw,ps2_raw,ps3_raw,ps4_raw,ps5_raw,ps6_raw,ps7_raw,vl,vr
1,0.032,-0.75,-0.75,1.570796,1,FOLLOWING,67.79,68.71,71.73,70.27,65.12,70.24,69.97,67.07,67.79,68.71,71.73,70.27,65.12,70.24,69.97,67.07,3.14,-1.8322
2,0.064,-0.749985,-0.749485,1.511378,1,FOLLOWING,69.09,67.23,65.42,67.85,67.08,69.89,67.05,65.65,69.65,66.6,62.72,66.82,67.92,69.75,65.8,65.05,3.14,-1.4918
3,0.096,-0.749939,-0.748972,1.451959,1,FOLLOWING,64.7,67.1,65.11,67.56,65.26,65.34,67.77,69.26,62.82,67.04,64.97,67.43,64.48,63.39,68.08,70.81,3.14,-1.1511
4,0.128,-0.749845,-0.748336,1.397492,1,FOLLOWING,70.34,68.33,64.14,66.8,66.15,64.55,72.71,66.24,72.76,68.85,63.73,66.48,66.53,64.21,74.83,64.94,3.14,-0.8399
5,0.16,-0.749693,-0.747578,1.347977,1,FOLLOWING,67.89,63.04,59.42,68.08,61.07,67.85,71.58,61.79,66.84,60.78,57.4,68.63,58.9,69.27,71.1,59.89,3.14,-0.5581
6,0.192,-0.749489,-0.746767,1.300937,1,FOLLOWING,67.31,69.84,68.15,66.55,61.41,67.7,68.76,64.03,67.06,72.76,71.89,65.89,61.55,67.64,67.55,64.99,3.14,-0.2908
7,0.224,-0.749212,-0.745842,1.258849,1,FOLLOWING,70.01,67.73,67.43,66.39,64.32,58.58,66.02,69.98,71.16,66.83,67.13,66.33,65.57,54.67,64.85,72.53,3.14,-0.0526
8,0.256,-0.748897,-0.744929,1.216761,1,FOLLOWING,70.1,68.67,63.18,68.8,65.03,62.82,69.93,69.15,70.14,69.07,61.35,69.83,65.33,64.64,71.6,68.79,3.14,0.1859
9,0.288,-0.748498,-0.74391,1.179625,1,FOLLOWING,65.33,65.0,70.84,68.56,66.14,68.39,68.68,65.37,63.28,63.42,74.12,68.46,66.61,70.78,68.15,63.75,3.14,0.3953
10,0.32,-0.748038,-0.742847,1.144964,1,FOLLOWING,67.27,68.09,70.03,66.68,71.28,66.45,67.12,66.2,68.1,69.42,69.68,65.88,73.49,65.62,66.45,66.56,3.14,0.5905
11,0.352,-0.747515,-0.741741,1.112779,1,FOLLOWING,67.89,67.05,63.25,65.38,68.8,66.83,67.12,71.28,68.16,66.61,60.34,64.82,67.73,67.0,67.11,73.45,3.14,0.7713
12,0.384,-0.746929,-0.740595,1.08307,1,FOLLOWING,67.0,68.19,62.5,62.63,68.15,70.7,67.44,69.33,66.62,68.68,62.18,61.46,67.88,72.36,67.58,68.49,3.14,0.9379
13,0.416,-0.746279,-0.73941,1.055836,1,FOLLOWING,68.97,66.07,64.97,68.66,66.21,70.89,69.75,69.63,69.81,65.17,66.02,71.24,65.37,70.97,70.73,69.76,3.14,1.0902
14,0.448,-0.745566,-0.738186,1.031079,1,FOLLOWING,67.95,67.19,68.0,64.05,66.28,69.07,70.85,66.64,67.51,67.67,69.3,62.07,66.31,68.28,71.32,65.36,3.14,1.2282
15,0.48,-0.744823,-0.73698,1.006321,1,FOLLOWING,70.82,71.72,67.39,63.36,64.15,64.63,68.59,64.5,72.06,73.66,67.12,63.06,63.23,62.73,67.63,63.58,3.14,1.3666
16,0.512,-0.744051,-0.735793,0.981563,1,FOLLOWING,64.09,67.79,68.75,66.17,65.44,68.26,70.16,66.49,61.21,66.11,69.33,67.38,65.99,69.81,70.84,67.35,3.14,1.5053
17,0.544,-0.743215,-0.734571,0.959281,1,FOLLOWING,62.7,67.26,65.41,63.8,66.68,68.99,68.58,66.85,62.1,67.03,63.98,62.78,67.21,69.31,67.9,67.01,3.14,1.6299
18,0.576,-0.742279,-0.733262,0.941951,1,FOLLOWING,66.19,68.37,67.18,67.39,62.22,66.92,66.85,65.32,67.69,68.85,67.94,68.93,60.3,66.03,66.11,64.66,3.14,1.7256
19,0.608,-0.741322,-0.731969,0.924621,1,FOLLOWING,64.43,67.17,66.19,68.69,64.69,69.05,66.86,68.89,63.68,66.65,65.77,69.24,65.76,69.96,66.86,70.42,3.14,1.8217
20,0.64,-0.740342,-0.730692,0.90729,1,FOLLOWING,66.92,70.9,63.87,64.16,68.36,61.31,65.14,66.28,67.99,72.49,62.88,62.22,69.93,57.99,64.4,65.16,3.14,1.918
21,0.672,-0.739301,-0.729381,0.892436,1,FOLLOWING,67.34,65.8,66.76,66.27,67.21,64.93,65.67,68.05,67.52,63.62,68.0,67.17,66.72,66.48,65.9,68.81,3.14,2.0001
22,0.704,-0.738241,-0.728086,0.877581,1,FOLLOWING,64.72,69.28,63.77,67.31,66.3,68.53,66.5,70.37,63.59,70.76,62.48,67.76,65.91,70.07,66.86,71.37,3.14,2.0824
