step,time,x,y,theta,wp_idx,action,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,vl,vr
1,0.032,-0.75,-0.75,1.570796,1,FOLLOWING,67.79,68.71,71.73,70.27,65.12,70.24,69.97,67.07,3.14,-3.1012
2,0.064,-0.749998,-0.749936,1.494047,1,FOLLOWING,69.65,66.6,62.72,66.82,67.92,69.75,65.8,65.05,3.14,-2.6873
3,0.096,-0.749976,-0.749744,1.42225,1,FOLLOWING,62.82,67.04,64.97,67.43,64.48,63.39,68.08,70.81,3.14,-2.3006
4,0.128,-0.749929,-0.749491,1.352929,1,FOLLOWING,72.76,68.85,63.73,66.48,66.53,64.21,74.83,64.94,3.14,-1.9274
5,0.16,-0.749833,-0.749116,1.288559,1,FOLLOWING,66.84,60.78,57.4,68.63,58.9,69.27,71.1,59.89,3.14,-1.5814
6,0.192,-0.749675,-0.748626,1.22914,1,FOLLOWING,67.06,72.76,71.89,65.89,61.55,67.64,67.55,64.99,3.14,-1.2624
7,0.224,-0.749443,-0.748026,1.174673,1,FOLLOWING,71.16,66.83,67.13,66.33,65.57,54.67,64.85,72.53,3.14,-0.9704
8,0.256,-0.749153,-0.74738,1.122682,1,FOLLOWING,70.14,69.07,61.35,69.83,65.33,64.64,71.6,68.79,3.14,-0.6917
9,0.288,-0.748801,-0.746692,1.073167,1,FOLLOWING,63.28,63.42,74.12,68.46,66.61,70.78,68.15,63.75,3.14,-0.4265
10,0.32,-0.748354,-0.74591,1.028603,1,FOLLOWING,68.1,69.42,69.68,65.88,73.49,65.62,66.45,66.56,3.14,-0.1882
11,0.352,-0.747838,-0.745094,0.986515,1,FOLLOWING,68.16,66.61,60.34,64.82,67.73,67.0,67.11,73.45,3.14,0.0368
12,0.384,-0.747253,-0.744246,0.946902,1,FOLLOWING,66.62,68.68,62.18,61.46,67.88,72.36,67.58,68.49,3.14,0.2485
13,0.416,-0.746597,-0.74337,0.909766,1,FOLLOWING,69.81,65.17,66.02,71.24,65.37,70.97,70.73,69.76,3.14,0.4469
14,0.448,-0.745831,-0.742417,0.877581,1,FOLLOWING,67.51,67.67,69.3,62.07,66.31,68.28,71.32,65.36,3.14,0.6185
15,0.48,-0.745035,-0.741489,0.845396,1,FOLLOWING,72.06,73.66,67.12,63.06,63.23,62.73,67.63,63.58,3.14,0.7902
16,0.512,-0.744166,-0.740538,0.815687,1,FOLLOWING,61.21,66.11,69.33,67.38,65.99,69.81,70.84,67.35,3.1363,0.9487
17,0.544,-0.743226,-0.739567,0.788453,1,FOLLOWING,62.1,67.03,63.98,62.78,67.21,69.31,67.9,67.01,3.0767,1.0939
18,0.576,-0.742308,-0.738665,0.763696,1,FOLLOWING,67.69,68.85,67.94,68.93,60.3,66.03,66.11,64.66,3.0225,1.226
19,0.608,-0.741273,-0.737698,0.738938,1,FOLLOWING,63.68,66.65,65.77,69.24,65.76,69.96,66.86,70.42,2.9684,1.3581
20,0.64,-0.740217,-0.736755,0.719132,1,FOLLOWING,67.99,72.49,62.88,62.22,69.93,57.99,64.4,65.16,2.9251,1.4636
21,0.672,-0.739094,-0.735789,0.701801,1,FOLLOWING,67.52,63.62,68.0,67.17,66.72,66.48,65.9,68.81,2.8873,1.5558
22,0.704,-0.738006,-0.734883,0.686947,1,FOLLOWING,63.59,70.76,62.48,67.76,65.91,70.07,66.86,71.37,2.8548,1.6348
23,0.736,-0.736853,-0.733954,0.669616,1,FOLLOWING,70.3,68.11,72.25,68.84,67.59,63.79,63.19,59.78,2.8169,1.7273
24,0.768,-0.735687,-0.733042,0.657237,1,FOLLOWING,61.14,71.63,66.47,73.18,66.33,64.54,71.64,67.01,2.7899,1.7931
25,0.8,-0.734457,-0.732108,0.642383,1,FOLLOWING,61.6,66.83,70.12,64.93,64.93,69.85,67.28,71.0,2.7574,1.8723
26,0.832,-0.733266,-0.731228,0.630004,1,FOLLOWING,71.0,66.98,69.05,66.13,65.18,68.79,64.52,64.19,2.7304,1.9383
27,0.864,-0.732064,-0.730363,0.617625,1,FOLLOWING,66.05,69.52,64.08,67.38,66.59,64.0,68.43,61.03,2.7033,2.0044
28,0.896,-0.730802,-0.729472,0.612674,1,FOLLOWING,68.19,62.74,64.71,64.83,66.6,69.33,72.37,77.66,2.6926,2.0305
29,0.928,-0.729534,-0.72859,0.602771,1,FOLLOWING,67.39,69.15,68.03,73.28,66.3,75.06,72.14,71.83,2.6709,2.0833
30,0.96,-0.728205,-0.727682,0.595343,1,FOLLOWING,70.06,68.46,68.11,69.47,64.82,65.85,67.63,67.69,2.6547,2.1228
31,0.992,-0.726976,-0.726856,0.587916,1,FOLLOWING,68.27,63.98,64.98,69.8,68.53,60.44,65.41,71.62,2.6385,2.1624
32,1.024,-0.725634,-0.725969,0.580489,1,FOLLOWING,61.08,64.82,68.83,67.67,70.51,70.53,71.23,62.7,2.6222,2.202
33,1.056,-0.724287,-0.725088,0.578013,1,FOLLOWING,67.84,64.96,66.54,65.63,66.26,65.15,67.49,70.9,2.6169,2.2149
34,1.088,-0.722991,-0.724247,0.573061,1,FOLLOWING,66.71,69.58,68.46,69.18,72.07,63.89,70.21,68.11,2.6061,2.2413
35,1.12,-0.721636,-0.72338,0.565634,1,FOLLOWING,63.93,67.55,65.59,70.75,65.12,57.56,71.67,72.8,2.5898,2.281
36,1.152,-0.720276,-0.722519,0.563158,1,FOLLOWING,68.88,67.97,59.92,70.44,67.74,61.94,71.87,62.98,2.5845,2.2941
37,1.184,-0.718914,-0.721661,0.560682,1,FOLLOWING,64.86,64.38,73.34,66.58,71.63,62.84,69.73,68.42,2.5791,2.3071
38,1.216,-0.717604,-0.720843,0.555731,1,FOLLOWING,69.43,64.22,62.06,65.25,67.81,75.59,68.68,67.71,2.5682,2.3336
39,1.248,-0.716236,-0.719996,0.553255,1,FOLLOWING,67.13,69.09,64.7,62.68,69.47,62.99,75.48,67.77,2.5629,2.3467
40,1.28,-0.714866,-0.719152,0.550779,1,FOLLOWING,60.62,66.95,59.57,69.19,62.03,76.04,69.95,61.12,2.5575,2.3599
41,1.312,-0.713493,-0.718311,0.548304,1,FOLLOWING,64.77,65.54,69.66,72.69,66.17,64.48,69.99,66.51,2.5521,2.373
42,1.344,-0.712119,-0.717474,0.545828,1,FOLLOWING,70.29,68.81,69.93,67.35,67.29,69.74,67.06,68.58,2.5467,2.3862
43,1.376,-0.710688,-0.716606,0.545828,1,FOLLOWING,65.15,66.65,66.79,67.94,62.09,69.94,70.27,70.82,2.5467,2.386
44,1.408,-0.709312,-0.715772,0.543352,1,FOLLOWING,68.35,68.66,58.75,63.26,65.33,56.09,70.22,67.05,2.5413,2.3992
45,1.44,-0.707934,-0.714942,0.540876,1,FOLLOWING,68.63,66.8,67.8,67.25,67.18,66.71,71.66,66.73,2.5359,2.4125
46,1.472,-0.706553,-0.714115,0.538401,1,FOLLOWING,65.14,68.09,67.19,62.23,69.19,66.59,63.7,64.69,2.5305,2.4257
47,1.504,-0.705116,-0.713257,0.538401,1,FOLLOWING,62.49,67.82,69.41,69.82,67.18,63.9,70.82,66.95,2.5305,2.4256
48,1.536,-0.703733,-0.712433,0.535925,1,FOLLOWING,65.99,60.02,64.69,70.96,69.35,68.81,72.85,70.22,2.5251,2.4388
49,1.568,-0.702349,-0.711613,0.533449,1,FOLLOWING,67.61,68.89,76.03,65.34,64.83,64.03,67.94,66.01,2.5196,2.4521
50,1.6,-0.700964,-0.710793,0.535925,1,FOLLOWING,71.37,70.46,64.84,68.31,72.37,69.04,73.2,65.08,2.5252,2.4387
51,1.632,-0.69958,-0.709973,0.533449,1,FOLLOWING,61.15,70.03,67.08,70.57,68.87,71.64,71.14,63.08,2.5197,2.4519
52,1.664,-0.698138,-0.709122,0.533449,1,FOLLOWING,70.21,69.22,61.74,56.3,67.02,70.66,75.25,67.11,2.5197,2.4519
53,1.696,-0.696752,-0.708305,0.530973,1,FOLLOWING,69.14,67.94,67.89,63.57,65.9,68.12,64.43,71.52,2.5143,2.4652
54,1.728,-0.695309,-0.707458,0.530973,1,FOLLOWING,60.9,62.42,64.31,66.08,69.54,63.22,67.88,67.04,2.5143,2.4651
55,1.76,-0.69392,-0.706645,0.528497,1,FOLLOWING,72.45,63.65,69.88,70.08,70.58,67.11,71.31,62.88,2.5088,2.4784
56,1.792,-0.692531,-0.705832,0.530973,1,FOLLOWING,68.74,70.76,63.95,80.23,66.26,66.32,67.71,65.57,2.5143,2.465
57,1.824,-0.691143,-0.705018,0.528497,1,FOLLOWING,60.29,65.24,66.92,69.6,66.8,66.32,65.73,66.63,2.5089,2.4783
58,1.856,-0.689697,-0.704174,0.528497,1,FOLLOWING,75.43,70.95,62.29,69.03,71.59,72.42,70.56,71.96,2.5089,2.4783
59,1.888,-0.688252,-0.703331,0.528497,1,FOLLOWING,60.27,64.94,68.2,65.53,64.64,65.99,66.02,71.34,2.5089,2.4783
60,1.92,-0.686918,-0.702552,0.528497,1,FOLLOWING,61.89,66.83,66.74,65.0,68.36,67.77,66.42,74.62,2.5089,2.4782
61,1.952,-0.685473,-0.701708,0.528497,1,FOLLOWING,70.77,61.35,66.75,72.98,70.88,72.27,73.21,72.24,2.5089,2.4782
62,1.984,-0.684027,-0.700864,0.528497,1,FOLLOWING,60.78,61.83,73.23,64.87,65.08,62.37,65.12,69.71,2.509,2.4782
63,2.016,-0.682637,-0.700054,0.526022,1,FOLLOWING,67.38,65.4,67.36,66.49,66.95,65.39,60.77,60.85,2.5035,2.4915
64,2.048,-0.681189,-0.699214,0.526022,1,FOLLOWING,66.7,69.03,70.15,72.25,68.89,68.22,69.37,69.96,2.5035,2.4915
65,2.08,-0.679799,-0.698404,0.528497,1,FOLLOWING,67.84,71.77,66.08,61.67,69.81,69.2,70.93,68.18,2.509,2.4781
66,2.112,-0.678408,-0.697594,0.526022,1,FOLLOWING,70.51,68.97,71.64,66.7,68.18,63.6,66.53,75.63,2.5035,2.4915
67,2.144,-0.67696,-0.696754,0.526022,1,FOLLOWING,66.09,65.96,69.95,69.44,64.83,64.24,68.07,66.8,2.5035,2.4914
68,2.176,-0.675513,-0.695914,0.526022,1,FOLLOWING,66.72,70.44,71.96,68.5,65.13,67.96,70.63,70.03,2.5035,2.4914
69,2.208,-0.674177,-0.695138,0.526022,1,FOLLOWING,63.35,67.99,62.42,69.6,61.3,65.79,63.58,74.72,2.5035,2.4914
70,2.24,-0.67273,-0.694298,0.526022,1,FOLLOWING,60.36,68.28,65.43,66.09,68.73,70.68,66.47,69.1,2.5035,2.4914
71,2.272,-0.671282,-0.693457,0.526022,1,FOLLOWING,68.36,66.31,72.62,67.48,65.69,70.66,58.09,71.53,2.5035,2.4914
