row,col
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
2,0
2,1
2,39
3,0
3,1
3,39
4,0
4,1
4,39
5,0
5,1
5,39
6,0
6,1
6,39
7,0
7,1
7,39
8,0
8,1
8,39
9,0
9,1
9,39
10,0
10,1
10,6
10,7
10,8
10,9
10,10
10,11
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,39
11,0
11,1
11,6
11,7
11,8
11,9
11,10
11,11
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,39
12,0
12,1
12,6
12,7
12,8
12,9
12,10
12,11
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,39
13,0
13,1
13,6
13,7
13,8
13,9
13,10
13,11
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,39
14,0
14,1
14,6
14,7
14,8
14,9
14,10
14,11
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,39
15,0
15,1
15,6
15,7
15,8
15,9
15,10
15,11
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,39
16,0
16,1
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,39
17,0
17,1
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,39
18,0
18,1
18,16
18,17
18,18
18,19
18,20
18,21
18,22
18,23
18,39
19,0
19,1
19,16
19,17
19,18
19,19
19,20
19,21
19,22
19,23
19,39
20,0
20,1
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,39
21,0
21,1
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,39
22,0
22,1
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,23
22,39
23,0
23,1
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
23,39
24,0
24,1
24,39
25,0
25,1
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,39
26,0
26,1
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,39
27,0
27,1
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,39
28,0
28,1
28,10
28,11
28,12
28,13
28,14
28,15
28,16
28,23
28,24
28,25
28,26
28,27
28,28
28,29
28,30
28,39
29,0
29,1
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,23
29,24
29,25
29,26
29,27
29,28
29,29
29,30
29,39
30,0
30,1
30,10
30,11
30,12
30,13
30,14
30,15
30,16
30,23
30,24
30,25
30,26
30,27
30,28
30,29
30,30
30,39
31,0
31,1
31,10
31,11
31,12
31,13
31,14
31,15
31,16
31,23
31,24
31,25
31,26
31,27
31,28
31,29
31,30
31,39
32,0
32,1
32,23
32,24
32,25
32,26
32,27
32,28
32,29
32,30
32,39
33,0
33,1
33,23
33,24
33,25
33,26
33,27
33,28
33,29
33,30
33,39
34,0
34,1
34,39
35,0
35,1
35,39
36,0
36,1
36,39
37,0
37,1
37,39
38,0
38,1
38,39
39,0
39,1
39,2
39,3
39,4
39,5
39,6
39,7
39,8
39,9
39,10
39,11
39,12
39,13
39,14
39,15
39,16
39,17
39,18
39,19
39,20
39,21
39,22
39,23
39,24
39,25
39,26
39,27
39,28
39,29
39,30
39,31
39,32
39,33
39,34
39,35
39,36
39,37
39,38
39,39
