type,x,z
planned,-0.725,-0.725
planned,-0.475,-0.875
planned,0.225,-0.875
planned,0.775,-0.775
planned,0.875,-0.325
planned,0.825,0.775
planned,0.775,0.775
actual,-0.75,-0.75
actual,-0.746673,-0.75033
actual,-0.742864,-0.751277
actual,-0.738903,-0.752623
actual,-0.73483,-0.754227
actual,-0.730684,-0.755991
actual,-0.726564,-0.757817
actual,-0.722401,-0.759702
actual,-0.718247,-0.761608
actual,-0.714098,-0.763524
actual,-0.709953,-0.765451
actual,-0.705752,-0.767407
actual,-0.701665,-0.769304
actual,-0.697463,-0.77126
actual,-0.693324,-0.773197
actual,-0.689181,-0.775128
actual,-0.68498,-0.777084
actual,-0.680897,-0.778991
actual,-0.676696,-0.780947
actual,-0.672554,-0.782879
actual,-0.668412,-0.78481
actual,-0.66421,-0.786767
actual,-0.660128,-0.788673
actual,-0.655926,-0.79063
actual,-0.651784,-0.792561
actual,-0.647642,-0.794493
actual,-0.64344,-0.796449
actual,-0.639301,-0.798386
actual,-0.635159,-0.800317
actual,-0.631017,-0.802249
actual,-0.626875,-0.80418
actual,-0.622673,-0.806136
actual,-0.618591,-0.808043
actual,-0.614389,-0.809999
actual,-0.610247,-0.811931
actual,-0.606107,-0.813868
actual,-0.602025,-0.815775
actual,-0.598057,-0.817622
actual,-0.594148,-0.819445
actual,-0.590356,-0.821213
actual,-0.586504,-0.823006
actual,-0.58277,-0.824745
actual,-0.579154,-0.826434
actual,-0.575536,-0.828119
actual,-0.572034,-0.829749
actual,-0.568592,-0.831354
actual,-0.565151,-0.832959
actual,-0.561825,-0.83451
actual,-0.558502,-0.836064
actual,-0.555352,-0.837535
actual,-0.552144,-0.839032
actual,-0.549052,-0.840474
actual,-0.546017,-0.841886
actual,-0.542983,-0.843299
actual,-0.540008,-0.844687
actual,-0.537092,-0.846049
actual,-0.534233,-0.847382
actual,-0.531432,-0.848686
actual,-0.528631,-0.84999
actual,-0.525477,-0.851103
actual,-0.521572,-0.851917
actual,-0.517295,-0.852467
actual,-0.512933,-0.852839
actual,-0.508436,-0.853112
actual,-0.503935,-0.853319
actual,-0.499368,-0.853497
actual,-0.4948,-0.853652
actual,-0.490232,-0.853802
actual,-0.485665,-0.853952
actual,-0.481096,-0.85409
actual,-0.476464,-0.854228
actual,-0.47196,-0.854362
actual,-0.467327,-0.8545
actual,-0.462695,-0.854637
actual,-0.458191,-0.854766
actual,-0.453558,-0.854903
actual,-0.44899,-0.855042
actual,-0.444422,-0.85518
actual,-0.439789,-0.855318
actual,-0.435285,-0.855446
actual,-0.430652,-0.855584
actual,-0.42602,-0.855722
actual,-0.421516,-0.855855
actual,-0.416883,-0.855993
actual,-0.412315,-0.856126
actual,-0.407747,-0.856259
actual,-0.403114,-0.856397
actual,-0.39861,-0.856536
actual,-0.393978,-0.856674
actual,-0.389345,-0.856812
actual,-0.384841,-0.856945
actual,-0.380209,-0.857083
actual,-0.37564,-0.857216
actual,-0.371072,-0.857349
actual,-0.366439,-0.857487
actual,-0.361935,-0.857621
actual,-0.357303,-0.857758
actual,-0.35267,-0.857896
actual,-0.348166,-0.85803
actual,-0.343534,-0.858167
actual,-0.338965,-0.8583
actual,-0.334397,-0.858433
actual,-0.329765,-0.858571
actual,-0.325261,-0.858705
actual,-0.320628,-0.858843
actual,-0.315995,-0.85898
actual,-0.311492,-0.859114
actual,-0.306859,-0.859252
actual,-0.302291,-0.859385
actual,-0.297722,-0.859518
actual,-0.29309,-0.859655
actual,-0.288586,-0.859795
actual,-0.283953,-0.859932
actual,-0.279321,-0.86007
actual,-0.274817,-0.860204
actual,-0.270184,-0.860342
actual,-0.265616,-0.860475
actual,-0.261048,-0.860608
actual,-0.256415,-0.860745
actual,-0.251911,-0.860879
actual,-0.247278,-0.861017
actual,-0.242646,-0.861154
actual,-0.238142,-0.861288
actual,-0.233509,-0.861426
actual,-0.228941,-0.861559
actual,-0.224373,-0.861692
actual,-0.21974,-0.86183
actual,-0.215236,-0.861963
actual,-0.210604,-0.862101
