type,x,y
planned,-0.75,-0.75
planned,0.225,-0.175
planned,0.75,0.75
actual,-0.75,-0.75
actual,-0.749618,-0.748245
actual,-0.747672,-0.744262
actual,-0.743964,-0.739246
actual,-0.738752,-0.733813
actual,-0.732437,-0.728325
actual,-0.725291,-0.722836
actual,-0.717661,-0.717461
actual,-0.709616,-0.712123
actual,-0.701302,-0.706843
actual,-0.692807,-0.701611
actual,-0.684147,-0.696401
actual,-0.675398,-0.691216
actual,-0.666625,-0.686071
actual,-0.657778,-0.680925
actual,-0.64892,-0.675797
actual,-0.64,-0.670648
actual,-0.631128,-0.665547
actual,-0.622195,-0.66042
actual,-0.613263,-0.655292
actual,-0.604331,-0.650165
actual,-0.595398,-0.645038
actual,-0.586575,-0.63998
actual,-0.577643,-0.634853
actual,-0.56871,-0.629726
actual,-0.559778,-0.624599
actual,-0.550846,-0.619472
actual,-0.541968,-0.614379
actual,-0.533023,-0.609274
actual,-0.524135,-0.604199
actual,-0.515203,-0.599072
actual,-0.50627,-0.593945
actual,-0.497338,-0.588818
actual,-0.488406,-0.583691
actual,-0.479523,-0.578607
actual,-0.470578,-0.573502
actual,-0.461692,-0.568422
actual,-0.45276,-0.563295
actual,-0.443828,-0.558168
actual,-0.434895,-0.553041
actual,-0.425963,-0.547914
actual,-0.417077,-0.542835
actual,-0.408132,-0.53773
actual,-0.39925,-0.532646
actual,-0.390317,-0.527519
actual,-0.381385,-0.522392
actual,-0.372453,-0.517265
actual,-0.363575,-0.512172
actual,-0.35463,-0.507067
actual,-0.345685,-0.501962
actual,-0.336807,-0.496869
actual,-0.327875,-0.491742
actual,-0.318942,-0.486615
actual,-0.31001,-0.481488
actual,-0.30113,-0.4764
actual,-0.292185,-0.471295
actual,-0.28324,-0.46619
actual,-0.274362,-0.461097
actual,-0.265429,-0.45597
actual,-0.256497,-0.450843
actual,-0.247565,-0.445716
actual,-0.238682,-0.440632
actual,-0.229737,-0.435527
actual,-0.220851,-0.430447
actual,-0.211919,-0.42532
actual,-0.202987,-0.420193
actual,-0.194054,-0.415066
actual,-0.185122,-0.409939
actual,-0.176237,-0.40486
actual,-0.167292,-0.399755
actual,-0.158409,-0.394671
actual,-0.149476,-0.389544
actual,-0.140544,-0.384417
actual,-0.131612,-0.37929
actual,-0.122679,-0.374163
actual,-0.113791,-0.369088
actual,-0.104846,-0.363983
actual,-0.095966,-0.358894
actual,-0.087034,-0.353767
actual,-0.078101,-0.34864
actual,-0.069169,-0.343513
actual,-0.060289,-0.338425
actual,-0.051344,-0.33332
actual,-0.042456,-0.328245
actual,-0.033523,-0.323118
actual,-0.024591,-0.317991
actual,-0.015659,-0.312864
actual,-0.006726,-0.307737
actual,0.002156,-0.302653
actual,0.011101,-0.297548
actual,0.019987,-0.292468
actual,0.028919,-0.287341
actual,0.037852,-0.282214
actual,0.046784,-0.277087
actual,0.055716,-0.27196
actual,0.064604,-0.266885
actual,0.073549,-0.26178
actual,0.080981,-0.257531
actual,0.082344,-0.256802
actual,0.083734,-0.256129
actual,0.08521,-0.255488
actual,0.086591,-0.254954
actual,0.088053,-0.254456
actual,0.089596,-0.254
actual,0.091094,-0.253624
actual,0.09267,-0.253296
actual,0.094131,-0.253055
actual,0.095664,-0.252864
actual,0.097267,-0.252731
actual,0.098811,-0.252669
actual,0.100355,-0.252668
actual,0.101963,-0.252734
actual,0.103439,-0.252855
actual,0.105938,-0.253081
actual,0.108769,-0.25301
actual,0.110313,-0.252991
actual,0.111922,-0.253037
actual,0.113399,-0.25314
actual,0.113399,-0.25314
actual,0.113462,-0.253152
actual,0.113462,-0.253152
actual,0.114859,-0.253641
actual,0.116355,-0.254235
actual,0.117765,-0.254864
actual,0.119149,-0.25555
actual,0.120561,-0.256324
actual,0.12161,-0.256951
actual,0.122554,-0.257147
actual,0.125638,-0.257118
actual,0.127179,-0.25702
actual,0.128788,-0.256983
actual,0.130333,-0.257014
actual,0.131875,-0.257106
actual,0.133412,-0.257261
actual,0.134048,-0.257354
actual,0.133986,-0.257339
actual,0.134357,-0.257446
actual,0.135809,-0.257974
actual,0.137238,-0.258559
actual,0.138643,-0.259202
actual,0.140019,-0.259903
actual,0.141367,-0.260658
actual,0.142466,-0.261329
actual,0.14272,-0.261369
actual,0.145029,-0.261242
actual,0.1465,-0.261078
